2026-04-29 15:14:15 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000165
2026-04-29 15:14:16 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000166
2026-04-29 15:14:16 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000167
2026-04-29 15:14:17 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000168
2026-04-29 15:14:18 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000169
2026-04-29 15:14:18 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000170
2026-04-29 15:14:19 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000171
2026-04-29 15:14:19 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000172
2026-04-29 15:14:20 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000173
2026-04-29 15:14:20 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000174
2026-04-29 15:14:21 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000175
2026-04-29 15:14:22 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000176
2026-04-29 15:14:22 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000177
2026-04-29 15:14:23 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000178
2026-04-29 15:14:23 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000179
2026-04-29 15:14:24 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000180
2026-04-29 15:14:24 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000181
2026-04-29 15:14:25 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000182
2026-04-29 15:14:26 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000183
2026-04-29 15:14:26 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000184
2026-04-29 15:14:27 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000185
2026-04-29 15:14:28 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000186
2026-04-29 15:14:28 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000187
2026-04-29 15:14:29 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000188
2026-04-29 15:14:29 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000189
2026-04-29 15:14:30 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000190
2026-04-29 15:14:31 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000191
2026-04-29 15:14:31 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000192
2026-04-29 15:14:32 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000193
2026-04-29 15:14:32 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000194
2026-04-29 15:14:33 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000195
2026-04-29 15:14:33 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000196
2026-04-29 15:14:34 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000197
2026-04-29 15:14:35 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000198
2026-04-29 15:14:35 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000199
2026-04-29 15:14:36 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000200
2026-04-29 15:14:36 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000201
2026-04-29 15:14:37 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000202
2026-04-29 15:14:38 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000203
2026-04-29 15:14:38 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000204
2026-04-29 15:14:39 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000205
2026-04-29 15:14:39 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000206
2026-04-29 15:14:40 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000207
2026-04-29 15:14:41 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000208
2026-04-29 15:14:41 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000209
2026-04-29 15:14:42 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000210
2026-04-29 15:14:42 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000211
2026-04-29 15:14:43 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000212
2026-04-29 15:14:44 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000213
2026-04-29 15:14:44 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000214
2026-04-29 15:14:45 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000215
2026-04-29 15:14:45 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000216
2026-04-29 15:14:46 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000217
2026-04-29 15:14:47 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000218
2026-04-29 15:14:47 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000219
2026-04-29 15:14:48 | build_dataset | DEBUG | download_image:113 | Downloaded image for prod_000220
2026-04-29 15:15:03 | build_dataset | INFO | build_dataset:123 | === Building dataset ===
2026-04-29 15:15:03 | build_dataset | INFO | load_json_files:44 | Loading 16 JSON files from /Users/yanoperdices/Downloads/files/data/raw
2026-04-29 15:15:03 | build_dataset | DEBUG | load_json_files:53 | Loaded 0 products from sephora_concealer.json
